index,text,confidence
862,1,0.295
863,-,0.9536
864,=,0.277
865,EE,0.2588
866,-,0.6821
867,,0.8067
868,-,0.9269
869,l,0.6976
870,DI,0.3559
871,-,0.579
872,,0.5318
873,-,0.4167
874,Emm,0.4272
875,DB,0.4073
876,ETIlE,0.1761
877,1,0.8228
878,TETT,0.1964
879,,0.3691
880,-,0.4529
881,-,0.7201
882,,0.4483
883,1,0.3244
884,1,0.7633
885,1,0.9253
886,1,0.8514
887,E,0.2172
888,=,0.5386
889,-,0.5401
890,B,0.2614
891,=,0.4289
892,-,0.4899
893,-,0.4202
894,-,0.9766
895,-,0.6444
896,EL,0.3619
897,:,0.5789
898,E,0.6039
899,,0.6328
900,1,0.7947
901,-,0.4764
902,-,0.8596
903,TT,0.2475
904,-,0.4948
905,-,0.8843
906,-,0.4033
907,-,0.7707
908,-,0.8686
909,i,0.528
910,-,0.5917
911,-,0.9012
912,1,0.2486
913,L,0.4841
914,=,0.9046
915,-,0.8083
916,I,0.3637
917,1,0.6881
918,-,0.7362
919,-,0.7841
920,-,0.8323
921,-,0.9171
922,1,0.6085
923,-,0.6705
924,DINT,0.1308
925,-,0.8381
926,=,0.4154
927,,0.3848
928,-,0.4338
929,-,0.3222
930,1,0.5908
931,DT,0.4939
932,1,0.7998
933,-,0.9021
934,-,0.933
935,1,0.7722
936,E,0.3043
937,ETT,0.4095
938,EITIE,0.3328
939,,0.2315
940,LIT,0.3288
941,=,0.7374
942,-,0.8702
943,E,0.2211
944,-,0.5767
945,-,0.778
946,=,0.4933
947,=,0.2967
948,-,0.8597
949,-,0.7858
950,L,0.4937
951,-,0.4718
952,T,0.3211
953,-,0.7127
954,1,0.5819
955,IEEFE,0.3179
956,-,0.8658
957,EUSTES,0.2485
958,-,0.7089
959,-,0.8897
960,1,0.6174
961,1,0.5638
962,-,0.7084
963,-,0.69
964,EC3,0.3016
965,MT,0.1625
966,-,0.7216
967,-,0.3197
968,BETE,0.2765
969,-,0.3989
970,-,0.9144
971,-,0.5344
972,-,0.6556
973,1,0.8404
974,=,0.4533
975,-,0.5552
976,F,0.3581
977,=,0.7633
978,-,0.5324
979,-,0.788
980,1,0.4456
981,BT,0.474
982,-,0.627
983,1,0.7901
984,-,0.5119
985,-,0.9377
986,-,0.9714
987,-,0.968
988,L,0.5108
989,T,0.2443
990,-,0.7958
991,-,0.8537
992,MOTIY,0.1639
993,1,0.4134
994,,0.2754
995,T,0.4683
996,-,0.8805
997,=,0.928
998,,0.5439
999,E,0.3691
1000,,0.3734
1001,-,0.5909
1002,=,0.6155
1003,-,0.4329
1004,=,0.4321
1005,-,0.7382
1006,-,0.6528
1007,-,0.705
1008,-,0.4654
1009,LLl,0.2008
1010,1,0.4307
1011,-,0.3687
1012,-,0.3674
1013,,0.8682
1014,E,0.2344
1015,-,0.5193
1016,IMETITITIT,0.2304
1017,-,0.9819
1018,-,0.8341
1019,=,0.39
1020,-,0.9782
1021,B,0.1196
1022,TT,0.402
1023,-,0.8324
1024,E,0.2616
1025,1,0.3892
1026,-,0.2358
1027,UTTTTOE,0.4078
1028,-,0.6511
1029,1,0.7152
1030,1,0.5953
1031,/,0.3171
1032,HIEE,0.2683
1033,MEE,0.3449
1034,E,0.7013
1035,-,0.6167
1036,L,0.625
1037,=,0.5154
1038,UI,0.3511
1039,-,0.9792
1040,M,0.1666
1041,-,0.4888
1042,L,0.2649
1043,-,0.4431
1044,I,0.3242
1045,1,0.3678
1046,-,0.746
1047,=,0.524
1048,1,0.408
1049,BE,0.1889
1050,-,0.6663
1051,L,0.6461
1052,-,0.8816
1053,=,0.5816
1054,-,0.7848
1055,1,0.6039
1056,T,0.702
1057,1,0.4461
